Pre-Weight Change,,,,Post-Weight Change
Input Number,Real,Predicted,Error,Input Number,Real,Predicted,Error
0,-858993460,128929,470517,1,599446,128929,470517,
2,126094,59128.3,66965.7,3,679747,59128.3,66965.7,
4,217102,137293,542454,5,12694,137293,542454,
6,117631,77587.9,139514,7,586111,77587.9,139514,
8,26527,18748,-6054,9,365422,18748,-6054,
10,1205887,57109.3,60521.7,11,108319,57109.3,60521.7,
12,1508062,127486,458625,13,73966,127486,458625,
14,41791,27112.5,-585.492,15,9427,27112.5,-585.492,
16,594094,100662,264760,17,789526,100662,264760,
18,1499566,182865,1.02302e+06,19,1428319,182865,1.02302e+06,
20,248851,54801.8,53517.2,21,359167,54801.8,53517.2,
22,45406,204497,1.30356e+06,23,192046,204497,1.30356e+06,
24,1606,45283.6,28682.4,25,80707,45283.6,28682.4,
26,648694,34034.8,7756.17,27,73966,34034.8,7756.17,
28,313006,16152.1,-6725.12,29,442387,16152.1,-6725.12,
30,1457446,128352,465742,31,696991,128352,465742,
32,637582,147965,641561,33,41791,147965,641561,
34,240286,203921,1.29565e+06,35,881311,203921,1.29565e+06,
36,2206,199017,1.2293e+06,37,204382,199017,1.2293e+06,
38,536806,83068.1,165783,39,1221151,83068.1,165783,
40,801886,99797,259370,41,567694,99797,259370,
42,1607491,35477,9929.02,43,1198291,35477,9929.02,
44,618367,72973,119073,45,67519,72973,119073,
46,386662,6633.91,-5027.91,47,19702,6633.91,-5027.91,
48,301486,47302.6,33404.4,49,6646,47302.6,33404.4,
50,852286,134120,514574,51,1080019,134120,514574,
52,586111,45283.6,28682.4,53,30622,45283.6,28682.4,
54,1112662,93163.1,219843,55,248851,93163.1,219843,
56,1453267,110757,331630,57,1647262,110757,331630,
58,406291,201036,1.25641e+06,59,1403587,201036,1.25641e+06,
60,541894,139024,557967,61,768127,139024,557967,
62,22207,132967,504615,63,944182,132967,504615,
64,110611,34034.8,7756.17,65,22207,34034.8,7756.17,
66,103807,81625.9,158660,67,741046,81625.9,158660,
68,934111,156329,724982,69,842719,156329,724982,
70,1620694,7787.63,-5581.63,71,1183171,7787.63,-5581.63,
72,679747,75280.4,129102,73,694102,75280.4,129102,
