Pre-Weight Change,,,,Post-Weight Change
Input Number,Real,Predicted,Error,Input Number,Real,Predicted,Error
74,1116319,122006,414800,75,89806,122006,414800,
76,110611,184019,1.03713e+06,77,878062,184019,1.03713e+06,
78,920767,149119,652767,79,169951,149119,652767,
80,833206,125467,442227,81,920767,125467,442227,
82,22,211131,1.39636e+06,83,732127,211131,1.39636e+06,
84,599446,182288,1.016e+06,85,328702,182288,1.016e+06,
86,894367,130948,487419,87,562486,130948,487419,
88,1651711,43264.6,24254.4,89,998806,43264.6,24254.4,
90,4351,103547,283115,91,26527,103547,283115,
92,5827,23362.9,-3660.89,93,57151,23362.9,-3660.89,
94,11926,91432.6,210053,95,132319,91432.6,210053,
96,1407694,13556.2,-6910.25,97,1127326,13556.2,-6910.25,
98,1198291,153734,698552,99,494527,153734,698552,
100,744031,173058,906961,101,1491094,173058,906961,
102,588766,127486,458625,103,1555219,127486,458625,
104,225247,29131.5,1490.49,105,1164406,29131.5,1490.49,
106,319,175654,937008,107,303391,175654,937008,
108,1164406,83068.1,165783,109,166,83068.1,165783,
110,489667,200748,1.25252e+06,111,648694,200748,1.25252e+06,
112,1598719,213727,1.43353e+06,113,1342702,213727,1.43353e+06,
114,1134694,106143,300148,115,433219,106143,300148,
116,212287,197287,1.2063e+06,117,59662,197287,1.2063e+06,
118,13891,122583,419311,119,122431,122583,419311,
120,694102,145946,622181,121,1037251,145946,622181,
122,509251,24805,-2598.05,123,326719,24805,-2598.05,
124,634819,161810,782372,125,388819,161810,782372,
126,795694,55378.7,55232.3,127,141286,55378.7,55232.3,
128,20686,24805,-2598.05,129,211,24805,-2598.05,
130,338707,53648.1,50158.9,131,765094,53648.1,50158.9,
132,1629526,143350,597696,133,235219,143350,597696,
134,1069246,160944,773167,135,514207,160944,773167,
136,1175647,152868,689851,137,35662,152868,689851,
138,63094,211997,1.4087e+06,139,927427,211997,1.4087e+06,
140,1611886,181135,1.00204e+06,141,1606,181135,1.00204e+06,
142,424147,137293,542454,143,1240366,137293,542454,
144,1232662,138735,555367,145,332686,138735,555367,
146,679747,175943,940376,147,591427,175943,940376,
148,122431,49898.5,39907.5,149,114094,49898.5,39907.5,
150,424147,55378.7,55232.3,151,319,55378.7,55232.3,
152,1194502,156041,722021,153,270019,156041,722021,
154,961087,159791,760976,155,86719,159791,760976,
156,1179406,68646.5,101304,157,236902,68646.5,101304,
158,777262,152003,681203,159,808102,152003,681203,
160,887827,159791,760976,161,468094,159791,760976,
162,897646,288.431,-266.431,163,235219,288.431,-266.431,
164,1338691,142485,589642,165,1194502,142485,589642,
166,868351,128929,470517,167,487246,128929,470517,
168,645907,95470.6,233231,169,359167,95470.6,233231,
170,506782,157483,736884,171,480019,157483,736884,
172,1411807,124891,437595,173,465727,124891,437595,
174,7822,214016,1.4377e+06,175,981571,214016,1.4377e+06,
176,264646,166425,832381,177,1279246,166425,832381,
178,839542,10960.4,-6609.37,179,1629526,10960.4,-6609.37,
180,4819,27112.5,-585.492,181,694,27112.5,-585.492,
182,1156942,12691,-6863.95,183,1546591,12691,-6863.95,
184,539347,39803.4,17347.6,185,957694,39803.4,17347.6,
186,1094467,18171.1,-6245.14,187,1186942,18171.1,-6245.14,
188,104926,60570.5,71748.5,189,393151,60570.5,71748.5,
190,74911,197575,1.21012e+06,191,1559542,197575,1.21012e+06,
192,974719,176808,950518,193,1127326,176808,950518,
194,171382,182288,1.016e+06,195,1283167,182288,1.016e+06,
196,1616287,117103,377424,197,336694,117103,377424,
198,544447,143639,600392,199,897646,143639,600392,
200,588766,203344,1.28775e+06,201,774211,203344,1.28775e+06,
202,1611886,127775,460991,203,753022,127775,460991,
204,31,207670,1.34755e+06,205,1291027,207670,1.34755e+06,
206,1420051,79030,146217,207,682606,79030,146217,
208,991894,179692,984714,209,607,179692,984714,
210,1674046,2884.31,-2565.31,211,1244227,2884.31,-2565.31,
212,340726,91721,211670,213,1080019,91721,211670,
214,1202086,179692,984714,215,849091,179692,984714,
216,74911,2019.02,-1853.02,217,137407,2019.02,-1853.02,
218,236902,116526,373141,219,437791,116526,373141,
220,1338691,134120,514574,221,1259731,134120,514574,
222,161491,210554,1.38816e+06,223,444694,210554,1.38816e+06,
224,319,192960,1.14974e+06,225,250582,192960,1.14974e+06,
226,559891,177385,957309,227,735094,177385,957309,
228,53086,109604,323615,229,225247,109604,323615,
230,305302,76722.6,135564,231,6646,76722.6,135564,
232,5827,40668.7,18993.3,233,81694,40668.7,18993.3,
234,350911,19613.3,-5722.29,235,293926,19613.3,-5722.29,
236,735094,58263,64168,237,1533694,58263,64168,
238,789526,138735,555367,239,475231,138735,555367,
240,1338691,169597,867654,241,808102,169597,867654,
242,1629526,118833,390418,243,3091,118833,390418,
244,338707,95182.2,231537,245,53887,95182.2,231537,
246,526702,132678,502141,247,223606,132678,502141,
248,199711,103835,284984,249,964486,103835,284984,
250,255811,148542,647152,251,1470019,148542,647152,
252,231871,62589.5,78696.5,253,210694,62589.5,78696.5,
254,1271422,23939.8,-3253.75,255,934111,23939.8,-3253.75,
256,1287094,2307.45,-2096.45,257,1267519,2307.45,-2096.45,
258,231871,96912.7,241794,259,1259731,96912.7,241794,
260,1354771,145658,619436,261,171382,145658,619436,
262,196627,212573,1.41695e+06,263,162886,212573,1.41695e+06,
264,920767,80760.6,154458,265,123646,80760.6,154458,
266,213886,172193,897053,267,1228819,172193,897053,
268,65731,119410,394797,269,186022,119410,394797,
270,114094,180558,995089,271,920767,180558,995089,
272,266431,31439,4223.05,273,2542,31439,4223.05,
274,89806,41822.5,21271.5,275,792607,41822.5,21271.5,
276,602131,160368,767059,277,2206,160368,767059,
278,338707,211420,1.40047e+06,279,124867,211420,1.40047e+06,
280,1164406,6633.91,-5027.91,281,189022,6633.91,-5027.91,
282,1346719,108450,315697,283,21694,108450,315697,
284,444694,185461,1.05491e+06,285,72094,185461,1.05491e+06,
286,49171,184884,1.04778e+06,287,7222,184884,1.04778e+06,
288,320806,96047.4,236639,289,363331,96047.4,236639,
290,947551,137293,542454,291,2371,137293,542454,
292,70246,128063,463364,293,212287,128063,463364,
294,31846,58263,64168,295,412942,58263,64168,
296,1194502,56244,57850,297,27667,56244,57850,
298,361246,108450,315697,299,607,108450,315697,
300,1168147,2884.31,-2565.31,301,1322707,2884.31,-2565.31,
302,1217326,182000,1.0125e+06,303,1424182,182000,1.0125e+06,
304,169951,86529.2,183490,305,13087,86529.2,183490,
306,985006,163252,797835,307,15142,163252,797835,
308,1444927,49033.2,37685.8,309,586111,49033.2,37685.8,
310,679747,180846,998560,311,691219,180846,998560,
312,1012702,81049,155853,313,940819,81049,155853,
314,201262,146811,630451,315,10111,146811,630451,
316,705694,149696,658406,317,270019,149696,658406,
318,640351,156906,730921,319,71167,156906,730921,
320,102694,113930,354164,321,648694,113930,354164,
322,662719,157772,739874,323,1508062,157772,739874,
324,150547,80760.6,154458,325,1568206,80760.6,154458,
326,541894,192672,1.14602e+06,327,230206,192672,1.14602e+06,
328,68422,182000,1.0125e+06,329,1461631,182000,1.0125e+06,
330,1119982,155176,713175,331,129811,155176,713175,
332,168526,116238,371008,333,950926,116238,371008,
334,501862,133832,512075,335,671206,133832,512075,
336,1687519,99797,259370,337,1232662,99797,259370,
338,109462,118545,388237,339,1194502,118545,388237,
340,225247,115372,364647,341,1314751,115372,364647,
342,1342702,197864,1.21394e+06,343,934111,197864,1.21394e+06,
344,1005742,113642,352085,345,190531,113642,352085,
346,496966,14710,-6887.97,347,299587,14710,-6887.97,
348,1205887,164982,816589,349,3091,164982,816589,
350,501862,85663.9,178982,351,127327,85663.9,178982,
352,705694,188345,1.0909e+06,353,72094,188345,1.0909e+06,
354,1457446,152580,686962,355,521686,152580,686962,
356,696991,212573,1.41695e+06,357,90847,212573,1.41695e+06,
358,14302,11537.2,-6718.23,359,65731,11537.2,-6718.23,
360,209107,4326.46,-3632.46,361,6367,4326.46,-3632.46,
362,85702,179116,977826,363,1263622,179116,977826,
364,1040782,207093,1.3395e+06,365,157342,207093,1.3395e+06,
366,215491,122295,417052,367,881311,122295,417052,
368,602131,162963,794731,369,70246,162963,794731,
370,26527,174212,920255,371,771166,174212,920255,
372,1334686,181423,1.00552e+06,373,252319,181423,1.00552e+06,
374,59662,53936.6,50989.4,375,103807,53936.6,50989.4,
376,6094,104412,288739,377,947551,104412,288739,
378,465727,45572.1,29338.9,379,1415926,45572.1,29338.9,
380,519187,207959,1.35158e+06,381,275446,207959,1.35158e+06,
382,143902,164406,810313,383,610222,164406,810313,
384,184531,176808,950518,385,223606,176808,950518,
386,46894,68935,102447,387,277267,68935,102447,
388,129811,188634,1.09453e+06,389,157342,188634,1.09453e+06,
390,147871,211708,1.40458e+06,391,13087,211708,1.40458e+06,
392,1072831,96624.3,240070,393,231871,96624.3,240070,
394,277267,122872,421575,395,9766,122872,421575,
396,371731,157772,739874,397,162886,157772,739874,
398,612931,127775,460991,399,245407,127775,460991,
400,1051411,146523,627688,401,127,146523,627688,
402,688342,211420,1.40047e+06,403,842719,211420,1.40047e+06,
404,1186942,144504,608518,405,142591,144504,608518,
406,1105366,576.862,-545.862,407,1175647,576.862,-545.862,
408,386662,189211,1.10182e+06,409,361246,189211,1.10182e+06,
410,10819,198440,1.22161e+06,411,202819,198440,1.22161e+06,
412,39007,137581,545025,413,1550902,137581,545025,
414,390982,165848,826046,415,16894,165848,826046,
416,417406,4038.03,-3431.03,417,142591,4038.03,-3431.03,
418,1164406,215458,1.45859e+06,419,1065667,215458,1.45859e+06,
420,15142,185749,1.05848e+06,421,1267519,185749,1.05848e+06,
422,4582,97201.2,243525,423,1271422,97201.2,243525,
424,547006,173058,906961,425,332686,173058,906961,
426,1366894,182577,1.01951e+06,427,20191,182577,1.01951e+06,
428,679747,153445,695646,429,623827,153445,695646,
430,777262,45572.1,29338.9,431,96142,45572.1,29338.9,
432,1156942,61724.2,75682.8,433,22,61724.2,75682.8,
434,1432462,81049,155853,435,338707,81049,155853,
436,954307,110181,327610,437,1275331,110181,327610,
438,950926,192672,1.14602e+06,439,988447,192672,1.14602e+06,
440,94,186903,1.07283e+06,441,96142,186903,1.07283e+06,
442,3091,66915.9,94575.1,443,186022,66915.9,94575.1,
444,1436611,111046,333648,445,94,111046,333648,
446,24862,2884.31,-2565.31,447,1228819,2884.31,-2565.31,
448,1326694,83356.5,167226,449,881311,83356.5,167226,
450,461011,124602,435289,451,17347,124602,435289,
452,210694,142773,592321,453,552142,142773,592321,
454,290182,38361.3,14724.7,455,618367,38361.3,14724.7,
456,301486,79030,146217,457,738067,79030,146217,
458,1102,92009.4,213293,459,1550902,92009.4,213293,
460,240286,13556.2,-6910.25,461,1062094,13556.2,-6910.25,
462,659902,12691,-6863.95,463,1294966,12691,-6863.95,
464,1054966,47591.1,34102.9,465,1002271,47591.1,34102.9,
466,8446,98643.3,252268,467,440086,98643.3,252268,
468,449326,90278.8,203647,469,1350742,90278.8,203647,
470,55507,142773,592321,471,196627,142773,592321,
472,247126,206228,1.32747e+06,473,166,206228,1.32747e+06,
474,209107,147965,641561,475,998806,147965,641561,
476,406291,114795,360436,477,820606,114795,360436,
478,161491,192672,1.14602e+06,479,1306819,192672,1.14602e+06,
480,348862,149696,658406,481,1244227,149696,658406,
482,1072831,212573,1.41695e+06,483,1083622,212573,1.41695e+06,
484,122431,9229.78,-6138.78,485,77782,9229.78,-6138.78,
486,357094,96912.7,241794,487,404086,96912.7,241794,
488,668371,38649.7,15237.3,489,795694,38649.7,15237.3,
490,771166,120852,405850,491,80707,120852,405850,
492,7222,78741.6,144864,493,433219,78741.6,144864,
494,845902,74415.1,125296,495,223606,74415.1,125296,
496,991894,163540,800946,497,4351,163540,800946,
498,1217326,84221.8,171589,499,311071,84221.8,171589,
500,1559542,201902,1.26812e+06,501,-858993460,201902,1.26812e+06,
502,-858993460,80183.8,151687,503,-858993460,80183.8,151687,
504,-858993460,76434.2,134260,505,-858993460,76434.2,134260,
506,-858993460,187768,1.08365e+06,507,7,187768,1.08365e+06,
508,0,160944,773167,509,-858993460,160944,773167,
510,-858993460,188922,1.09817e+06,511,-858993460,188922,1.09817e+06,
512,-858993460,187480,1.08004e+06,513,-858993460,187480,1.08004e+06,
514,500,80183.8,151687,515,-858993460,80183.8,151687,
516,-858993460,186903,1.07283e+06,517,-858993460,186903,1.07283e+06,
518,-858993460,193825,1.16095e+06,519,-858993460,193825,1.16095e+06,
520,-858993460,68935,102447,521,-858993460,68935,102447,
522,-858993460,73838.3,122789,523,0,73838.3,122789,
524,0,67204.4,95681.6,525,741421568,67204.4,95681.6,
526,959788337,159791,760976,527,3290165,159791,760976,
528,-858993460,58551.4,65094.6,529,0,58551.4,65094.6,
530,0,77011,136875,531,15,77011,136875,
532,0,184596,1.04422e+06,533,-858993460,184596,1.04422e+06,
534,-858993460,42687.8,23043.2,535,-858993460,42687.8,23043.2,
536,-858993460,71819.3,114203,537,-858993460,71819.3,114203,
538,-858993460,56244,57850,539,-858993460,56244,57850,
540,-858993460,159791,760976,541,-858993460,159791,760976,
542,-858993460,85952.4,180479,543,-858993460,85952.4,180479,
544,-858993460,8364.49,-5822.49,545,-858993460,8364.49,-5822.49,
546,-858993460,49898.5,39907.5,547,-858993460,49898.5,39907.5,
548,-858993460,148253,644354,549,-858993460,148253,644354,
550,-858993460,129217,472914,551,-858993460,129217,472914,
552,-858993460,7787.63,-5581.63,553,-858993460,7787.63,-5581.63,
554,-858993460,96912.7,241794,555,1202590843,96912.7,241794,
556,1065646817,58839.9,66027.1,557,-858993460,58839.9,66027.1,
558,-858993460,179692,984714,559,-858993460,179692,984714,
560,-858993460,72396.1,116626,561,-858993460,72396.1,116626,
562,562,193249,1.15347e+06,563,-858993460,193249,1.15347e+06,
564,-858993460,24516.6,-2822.62,565,-858993460,24516.6,-2822.62,
566,-858993460,111046,333648,567,-858993460,111046,333648,
568,-858993460,44706.8,27387.2,569,-858993460,44706.8,27387.2,
570,-858993460,36919.1,12251.9,571,0,36919.1,12251.9,
572,0,14133.1,-6911.11,573,0,14133.1,-6911.11,
574,0,94316.9,226489,575,0,94316.9,226489,
576,0,100374,262957,577,0,100374,262957,
578,0,162098,785453,579,-858993460,162098,785453,
580,-858993460,8076.06,-5705.06,581,-858993460,8076.06,-5705.06,
582,-858993460,44129.9,26116.1,583,-858993460,44129.9,26116.1,
584,-858993460,76722.6,135564,585,-858993460,76722.6,135564,
586,-858993460,29708.4,2137.63,587,477636960,29708.4,2137.63,
588,406,107008,305934,589,0,107008,305934,
590,0,182000,1.0125e+06,591,0,182000,1.0125e+06,
592,0,27689.4,-22.3538,593,0,27689.4,-22.3538,
594,0,100085,261161,595,-858993460,100085,261161,
596,-858993460,4038.03,-3431.03,597,-858993460,4038.03,-3431.03,
598,-858993460,179981,988166,599,-858993460,179981,988166,
600,-858993460,191518,1.13119e+06,601,-858993460,191518,1.13119e+06,
602,-858993460,183730,1.0336e+06,603,0,183730,1.0336e+06,
604,1082492928,198729,1.22545e+06,605,0,198729,1.22545e+06,
606,1080934400,68646.5,101304,607,0,68646.5,101304,
608,0,19036.4,-5949.43,609,-859045887,19036.4,-5949.43,
610,-858993460,165271,819735,611,0,165271,819735,
612,0,20478.6,-5336.58,613,-858993460,20478.6,-5336.58,
614,-858993460,200171,1.24476e+06,615,-858993460,200171,1.24476e+06,
616,-858993460,127486,458625,617,-858993460,127486,458625,
618,-858993460,137293,542454,619,477640080,137293,542454,
620,406,138447,552772,621,477651184,138447,552772,
622,406,167578,845124,623,477651344,167578,845124,
624,406,161521,779298,625,477651344,161521,779298,
626,406,74703.6,126558,627,-858993460,74703.6,126558,
628,-858993460,16729,-6617.98,629,-858993460,16729,-6617.98,
630,-858993460,139889,565805,631,-858993460,139889,565805,
632,-858993460,86529.2,183490,633,-858993460,86529.2,183490,
634,4,133255,507096,635,-858993460,133255,507096,
636,-858993460,44418.3,26748.7,637,-858993460,44418.3,26748.7,
638,-858993460,53359.7,49334.3,639,-858993460,53359.7,49334.3,
640,-858993460,134120,514574,641,-858993460,134120,514574,
642,-858993460,135562,527157,643,477637840,135562,527157,
644,406,204497,1.30356e+06,645,477651408,204497,1.30356e+06,
646,406,64608.5,85938.5,647,477651568,64608.5,85938.5,
648,406,208535,1.35967e+06,649,477651568,208535,1.35967e+06,
650,406,122583,419311,651,-858993460,122583,419311,
652,-858993460,79895.3,150311,653,-858993460,79895.3,150311,
654,-858993460,43553,24869,655,-858993460,43553,24869,
656,-858993460,201325,1.26031e+06,657,-858993460,201325,1.26031e+06,
658,4,176231,943751,659,-858993460,176231,943751,
660,-858993460,59993.6,69817.4,661,-858993460,59993.6,69817.4,
662,-858993460,68358.1,100168,663,-858993460,68358.1,100168,
664,-858993460,162387,788539,665,-858993460,162387,788539,
666,-858993460,117968,383894,667,477638080,117968,383894,
668,406,136428,534778,669,477651632,136428,534778,
670,406,216323,1.4712e+06,671,477651792,216323,1.4712e+06,
672,406,184884,1.04778e+06,673,477651792,184884,1.04778e+06,
674,406,55090.3,54371.7,675,-858993460,55090.3,54371.7,
676,-858993460,182000,1.0125e+06,677,-858993460,182000,1.0125e+06,
678,-858993460,79030,146217,679,-858993460,79030,146217,
680,-858993460,190941,1.12381e+06,681,-858993460,190941,1.12381e+06,
682,4,192960,1.14974e+06,683,-858993460,192960,1.14974e+06,
684,-858993460,160944,773167,685,-858993460,160944,773167,
686,-858993460,167001,838741,687,-858993460,167001,838741,
688,-858993460,72684.6,117846,689,-858993460,72684.6,117846,
690,-858993460,117391,379575,691,712053785,117391,379575,
692,1089880193,91144.1,208443,693,-143633527,91144.1,208443,
694,1090933384,182865,1.02302e+06,695,4,182865,1.02302e+06,
696,0,9229.78,-6138.78,697,-859045632,9229.78,-6138.78,
698,-858993460,117968,383894,699,0,117968,383894,
700,1072693248,59416.7,67910.3,701,-858993460,59416.7,67910.3,
702,-858993460,139889,565805,703,-858993460,139889,565805,
704,-858993460,44706.8,27387.2,705,-858993460,44706.8,27387.2,
706,-858993460,201036,1.25641e+06,707,477637200,201036,1.25641e+06,
708,406,120276,401410,709,477656016,120276,401410,
710,406,139024,557967,711,477656176,139024,557967,
712,406,50187,40660,713,477656176,50187,40660,
714,406,19901.7,-5599.72,715,-858993460,19901.7,-5599.72,
716,-858993460,42687.8,23043.2,717,-858993460,42687.8,23043.2,
718,-858993460,76145.7,132961,719,-858993460,76145.7,132961,
720,-858993460,13267.8,-6900.82,721,-858993460,13267.8,-6900.82,
722,4,48744.8,36957.2,723,-858993460,48744.8,36957.2,
724,-858993460,187192,1.07643e+06,725,-858993460,187192,1.07643e+06,
726,-858993460,169886,870896,727,-858993460,169886,870896,
728,-858993460,66050.6,91291.4,729,-858993460,66050.6,91291.4,
730,-858993460,77299.4,138192,731,477636400,77299.4,138192,
732,406,156329,724982,733,477661600,156329,724982,
734,406,129217,472914,735,477662240,129217,472914,
736,406,44129.9,26116.1,737,477662360,44129.9,26116.1,
738,406,27112.5,-585.492,739,-858993460,27112.5,-585.492,
740,-858993460,146234,624932,741,-858993460,146234,624932,
742,-858993460,192383,1.1423e+06,743,-858993460,192383,1.1423e+06,
744,-858993460,83644.9,168674,745,-858993460,83644.9,168674,
746,4,40668.7,18993.3,747,-858993460,40668.7,18993.3,
748,-858993460,53648.1,50158.9,749,-858993460,53648.1,50158.9,
750,-858993460,12979.4,-6885.38,751,-858993460,12979.4,-6885.38,
752,-858993460,162098,785453,753,-858993460,162098,785453,
754,4,113642,352085,755,-858993460,113642,352085,
756,-858993460,198152,1.21777e+06,757,-858993460,198152,1.21777e+06,
758,-858993460,119987,399200,759,-858993460,119987,399200,
760,-858993460,87394.5,188051,761,-858993460,87394.5,188051,
762,-858993460,63166.3,80735.7,763,477639920,63166.3,80735.7,
764,406,130082,480140,765,477662432,130082,480140,
766,406,71530.8,113000,767,477663072,71530.8,113000,
768,406,78741.6,144864,769,477663192,78741.6,144864,
770,406,36053.8,10840.2,771,-858993460,36053.8,10840.2,
772,-858993460,87683,189584,773,-858993460,87683,189584,
774,-858993460,59993.6,69817.4,775,-858993460,59993.6,69817.4,
776,-858993460,66050.6,91291.4,777,-858993460,66050.6,91291.4,
778,4,64031.6,83839.4,779,-858993460,64031.6,83839.4,
780,-858993460,19036.4,-5949.43,781,-858993460,19036.4,-5949.43,
782,-858993460,172482,900349,783,-858993460,172482,900349,
784,-858993460,80183.8,151687,785,-858993460,80183.8,151687,
786,4,87683,189584,787,-858993460,87683,189584,
788,-858993460,16440.6,-6674.55,789,-858993460,16440.6,-6674.55,
790,-858993460,101528,270203,791,-858993460,101528,270203,
792,-858993460,67204.4,95681.6,793,-858993460,67204.4,95681.6,
794,-858993460,130371,482560,795,477639600,130371,482560,
796,406,82491.2,162916,797,477656240,82491.2,162916,
798,406,170751,880660,799,477656400,170751,880660,
800,406,1730.58,-1603.58,801,477656400,1730.58,-1603.58,
802,406,138158,550184,803,-858993460,138158,550184,
804,-858993460,152868,689851,805,-858993460,152868,689851,
806,-858993460,181423,1.00552e+06,807,-858993460,181423,1.00552e+06,
808,-858993460,62877.9,79713.1,809,-858993460,62877.9,79713.1,
810,4,175077,930289,811,-858993460,175077,930289,
812,-858993460,180558,995089,813,-858993460,180558,995089,
814,-858993460,103547,283115,815,-858993460,103547,283115,
816,-858993460,100085,261161,817,-858993460,100085,261161,
818,-858993460,17305.8,-6486.85,819,944756656,17305.8,-6486.85,
820,6,74992,127827,821,-858993460,74992,127827,
822,-858993460,32881.1,6125.89,823,-858993460,32881.1,6125.89,
824,-858993460,207382,1.34352e+06,825,-858993460,207382,1.34352e+06,
826,-858993460,104124,286858,827,944758656,104124,286858,
828,6,21632.3,-4738.31,829,-858993460,21632.3,-4738.31,
830,-858993460,107585,309821,831,-858993460,107585,309821,
832,-858993460,62877.9,79713.1,833,-858993460,62877.9,79713.1,
834,-858993460,179692,984714,835,944758656,179692,984714,
836,6,171905,893762,837,-858993460,171905,893762,
838,-858993460,20478.6,-5336.58,839,-858993460,20478.6,-5336.58,
840,-858993460,187480,1.08004e+06,841,-858993460,187480,1.08004e+06,
842,721,11248.8,-6666.8,843,-858993460,11248.8,-6666.8,
844,-858993460,187768,1.08365e+06,845,-858993460,187768,1.08365e+06,
846,-858993460,123160,423846,847,-858993460,123160,423846,
848,-858993460,96047.4,236639,849,-858993460,96047.4,236639,
850,3,194691,1.1722e+06,851,-858993460,194691,1.1722e+06,
852,-858993460,23651.3,-3460.32,853,-858993460,23651.3,-3460.32,
854,-858993460,137293,542454,855,-858993460,137293,542454,
856,-858993460,131524,492303,857,-858993460,131524,492303,
858,-858993460,146811,630451,859,477637280,146811,630451,
860,406,51629.1,44512.9,861,477660576,51629.1,44512.9,
862,406,179116,977826,863,477661368,179116,977826,
864,406,288.431,-266.431,865,477661368,288.431,-266.431,
866,406,199306,1.23316e+06,867,-858993460,199306,1.23316e+06,
868,-858993460,96912.7,241794,869,-858993460,96912.7,241794,
870,-858993460,162675,791632,871,-858993460,162675,791632,
872,-858993460,188057,1.08727e+06,873,-858993460,188057,1.08727e+06,
874,3,162387,788539,875,-858993460,162387,788539,
876,-858993460,165559,822888,877,-858993460,165559,822888,
878,-858993460,1442.15,-1348.15,879,-858993460,1442.15,-1348.15,
880,-858993460,51629.1,44512.9,881,-858993460,51629.1,44512.9,
882,-858993460,9229.78,-6138.78,883,0,9229.78,-6138.78,
884,0,71819.3,114203,885,477617152,71819.3,114203,
886,406,199594,1.23702e+06,887,-858993460,199594,1.23702e+06,
888,-858993460,1442.15,-1348.15,889,0,1442.15,-1348.15,
890,0,26247.2,-1385.2,891,15,26247.2,-1385.2,
892,0,184596,1.04422e+06,893,-858993460,184596,1.04422e+06,
894,-858993460,191806,1.13489e+06,895,-858993460,191806,1.13489e+06,
896,-858993460,156329,724982,897,-858993460,156329,724982,
898,0,113065,347946,899,-858993460,113065,347946,
900,-858993460,21920.7,-4573.74,901,-858993460,21920.7,-4573.74,
902,-858993460,76434.2,134260,903,-858993460,76434.2,134260,
904,-858993460,123737,428405,905,-858993460,123737,428405,
906,453,89702,200480,907,-858993460,89702,200480,
908,-858993460,130948,487419,909,-858993460,130948,487419,
910,-858993460,91432.6,210053,911,-858993460,91432.6,210053,
912,-858993460,143062,595005,913,-858993460,143062,595005,
914,-858993460,5480.18,-4378.18,915,944756656,5480.18,-4378.18,
916,6,207382,1.34352e+06,917,-858993460,207382,1.34352e+06,
918,-858993460,81625.9,158660,919,-858993460,81625.9,158660,
920,-858993460,171616,890478,921,-858993460,171616,890478,
922,-858993460,135274,524628,923,944758500,135274,524628,
924,6,189499,1.10547e+06,925,-858993460,189499,1.10547e+06,
926,-858993460,171039,883927,927,-858993460,171039,883927,
928,-858993460,166713,835558,929,-858993460,166713,835558,
930,-858993460,15286.8,-6840.83,931,944758656,15286.8,-6840.83,
932,6,110469,329617,933,-858993460,110469,329617,
934,-858993460,111623,337703,935,-858993460,111623,337703,
936,-858993460,193537,1.1572e+06,937,-858993460,193537,1.1572e+06,
938,136,39226.6,16280.4,939,-858993460,39226.6,16280.4,
940,-858993460,73838.3,122789,941,-858993460,73838.3,122789,
942,-858993460,82779.6,164346,943,-858993460,82779.6,164346,
944,-858993460,2019.02,-1853.02,945,-858993460,2019.02,-1853.02,
946,-858993460,76145.7,132961,947,944761864,76145.7,132961,
948,6,166425,832381,949,-858993460,166425,832381,
950,-858993460,106143,300148,951,-858993460,106143,300148,
952,-858993460,150849,669757,953,-858993460,150849,669757,
954,-858993460,66915.9,94575.1,955,477656400,66915.9,94575.1,
956,406,190364,1.11645e+06,957,-858993460,190364,1.11645e+06,
