Pre-Weight Change,,,,Post-Weight Change
Input Number,Real,Predicted,Error,Input Number,Real,Predicted,Error
941,-858993460,73838.3,122789,942,-858993460,73838.3,122789,
943,-858993460,82779.6,164346,944,-858993460,82779.6,164346,
945,-858993460,2019.02,-1853.02,946,-858993460,2019.02,-1853.02,
947,944761864,76145.7,132961,948,6,76145.7,132961,
949,-858993460,166425,832381,950,-858993460,166425,832381,
951,-858993460,106143,300148,952,-858993460,106143,300148,
953,-858993460,150849,669757,954,-858993460,150849,669757,
955,477656400,66915.9,94575.1,956,406,66915.9,94575.1,
957,-858993460,190364,1.11645e+06,958,-858993460,190364,1.11645e+06,
959,-858993460,98354.9,250507,960,-858993460,98354.9,250507,
961,-858993460,185749,1.05848e+06,962,-858993460,185749,1.05848e+06,
963,477656400,172482,900349,964,406,172482,900349,
965,-858993460,173347,910275,966,-858993460,173347,910275,
967,-858993460,58263,64168,968,-858993460,58263,64168,
969,-858993460,46437.4,31344.6,970,-858993460,46437.4,31344.6,
971,3,99508.6,257585,972,4,99508.6,257585,
973,3,105854,298232,974,0,105854,298232,
975,-914077437,136139,532232,976,-1065692856,136139,532232,
977,0,148542,647152,978,0,148542,647152,
979,0,146234,624932,980,0,146234,624932,
981,-858993460,47302.6,33404.4,982,-858993460,47302.6,33404.4,
983,-858993460,14133.1,-6911.11,984,-858993460,14133.1,-6911.11,
985,-858993460,109604,323615,986,-858993460,109604,323615,
987,944761736,153157,692745,988,6,153157,692745,
989,-858993460,78741.6,144864,990,-858993460,78741.6,144864,
991,-858993460,165848,826046,992,-858993460,165848,826046,
993,-858993460,10960.4,-6609.37,994,-858993460,10960.4,-6609.37,
995,477663072,183730,1.0336e+06,996,406,183730,1.0336e+06,
997,-858993460,92874.7,218196,998,-858993460,92874.7,218196,
999,-858993460,207959,1.35158e+06,1000,-858993460,207959,1.35158e+06,
