Pre-Weight Change,,,,Post-Weight Change
Input Number,Real,Predicted,Error,Input Number,Real,Predicted,Error
227,735094,177385,957309,228,53086,177385,957309,
229,225247,109604,323615,230,305302,109604,323615,
231,6646,76722.6,135564,232,5827,76722.6,135564,
233,81694,40668.7,18993.3,234,350911,40668.7,18993.3,
235,293926,19613.3,-5722.29,236,735094,19613.3,-5722.29,
237,1533694,58263,64168,238,789526,58263,64168,
239,475231,138735,555367,240,1338691,138735,555367,
241,808102,169597,867654,242,1629526,169597,867654,
243,3091,118833,390418,244,338707,118833,390418,
245,53887,95182.2,231537,246,526702,95182.2,231537,
247,223606,132678,502141,248,199711,132678,502141,
249,964486,103835,284984,250,255811,103835,284984,
251,1470019,148542,647152,252,231871,148542,647152,
253,210694,62589.5,78696.5,254,1271422,62589.5,78696.5,
255,934111,23939.8,-3253.75,256,1287094,23939.8,-3253.75,
257,1267519,2307.45,-2096.45,258,231871,2307.45,-2096.45,
259,1259731,96912.7,241794,260,1354771,96912.7,241794,
261,171382,145658,619436,262,196627,145658,619436,
263,162886,212573,1.41695e+06,264,920767,212573,1.41695e+06,
265,123646,80760.6,154458,266,213886,80760.6,154458,
267,1228819,172193,897053,268,65731,172193,897053,
269,186022,119410,394797,270,114094,119410,394797,
271,920767,180558,995089,272,266431,180558,995089,
273,2542,31439,4223.05,274,89806,31439,4223.05,
275,792607,41822.5,21271.5,276,602131,41822.5,21271.5,
277,2206,160368,767059,278,338707,160368,767059,
279,124867,211420,1.40047e+06,280,1164406,211420,1.40047e+06,
281,189022,6633.91,-5027.91,282,1346719,6633.91,-5027.91,
283,21694,108450,315697,284,444694,108450,315697,
285,72094,185461,1.05491e+06,286,49171,185461,1.05491e+06,
287,7222,184884,1.04778e+06,288,320806,184884,1.04778e+06,
289,363331,96047.4,236639,290,947551,96047.4,236639,
291,2371,137293,542454,292,70246,137293,542454,
293,212287,128063,463364,294,31846,128063,463364,
295,412942,58263,64168,296,1194502,58263,64168,
297,27667,56244,57850,298,361246,56244,57850,
299,607,108450,315697,300,1168147,108450,315697,
301,1322707,2884.31,-2565.31,302,1217326,2884.31,-2565.31,
303,1424182,182000,1.0125e+06,304,169951,182000,1.0125e+06,
305,13087,86529.2,183490,306,985006,86529.2,183490,
307,15142,163252,797835,308,1444927,163252,797835,
309,586111,49033.2,37685.8,310,679747,49033.2,37685.8,
311,691219,180846,998560,312,1012702,180846,998560,
313,940819,81049,155853,314,201262,81049,155853,
315,10111,146811,630451,316,705694,146811,630451,
317,270019,149696,658406,318,640351,149696,658406,
319,71167,156906,730921,320,102694,156906,730921,
321,648694,113930,354164,322,662719,113930,354164,
323,1508062,157772,739874,324,150547,157772,739874,
325,1568206,80760.6,154458,326,541894,80760.6,154458,
327,230206,192672,1.14602e+06,328,68422,192672,1.14602e+06,
329,1461631,182000,1.0125e+06,330,1119982,182000,1.0125e+06,
331,129811,155176,713175,332,168526,155176,713175,
333,950926,116238,371008,334,501862,116238,371008,
335,671206,133832,512075,336,1687519,133832,512075,
337,1232662,99797,259370,338,109462,99797,259370,
339,1194502,118545,388237,340,225247,118545,388237,
341,1314751,115372,364647,342,1342702,115372,364647,
343,934111,197864,1.21394e+06,344,1005742,197864,1.21394e+06,
345,190531,113642,352085,346,496966,113642,352085,
347,299587,14710,-6887.97,348,1205887,14710,-6887.97,
349,3091,164982,816589,350,501862,164982,816589,
351,127327,85663.9,178982,352,705694,85663.9,178982,
353,72094,188345,1.0909e+06,354,1457446,188345,1.0909e+06,
355,521686,152580,686962,356,696991,152580,686962,
357,90847,212573,1.41695e+06,358,14302,212573,1.41695e+06,
359,65731,11537.2,-6718.23,360,209107,11537.2,-6718.23,
361,6367,4326.46,-3632.46,362,85702,4326.46,-3632.46,
363,1263622,179116,977826,364,1040782,179116,977826,
365,157342,207093,1.3395e+06,366,215491,207093,1.3395e+06,
367,881311,122295,417052,368,602131,122295,417052,
369,70246,162963,794731,370,26527,162963,794731,
371,771166,174212,920255,372,1334686,174212,920255,
373,252319,181423,1.00552e+06,374,59662,181423,1.00552e+06,
375,103807,53936.6,50989.4,376,6094,53936.6,50989.4,
377,947551,104412,288739,378,465727,104412,288739,
379,1415926,45572.1,29338.9,380,519187,45572.1,29338.9,
381,275446,207959,1.35158e+06,382,143902,207959,1.35158e+06,
383,610222,164406,810313,384,184531,164406,810313,
385,223606,176808,950518,386,46894,176808,950518,
387,277267,68935,102447,388,129811,68935,102447,
389,157342,188634,1.09453e+06,390,147871,188634,1.09453e+06,
391,13087,211708,1.40458e+06,392,1072831,211708,1.40458e+06,
393,231871,96624.3,240070,394,277267,96624.3,240070,
395,9766,122872,421575,396,371731,122872,421575,
397,162886,157772,739874,398,612931,157772,739874,
399,245407,127775,460991,400,1051411,127775,460991,
401,127,146523,627688,402,688342,146523,627688,
403,842719,211420,1.40047e+06,404,1186942,211420,1.40047e+06,
405,142591,144504,608518,406,1105366,144504,608518,
407,1175647,576.862,-545.862,408,386662,576.862,-545.862,
409,361246,189211,1.10182e+06,410,10819,189211,1.10182e+06,
411,202819,198440,1.22161e+06,412,39007,198440,1.22161e+06,
413,1550902,137581,545025,414,390982,137581,545025,
415,16894,165848,826046,416,417406,165848,826046,
417,142591,4038.03,-3431.03,418,1164406,4038.03,-3431.03,
419,1065667,215458,1.45859e+06,420,15142,215458,1.45859e+06,
421,1267519,185749,1.05848e+06,422,4582,185749,1.05848e+06,
423,1271422,97201.2,243525,424,547006,97201.2,243525,
425,332686,173058,906961,426,1366894,173058,906961,
427,20191,182577,1.01951e+06,428,679747,182577,1.01951e+06,
